username,recency,frequency,monetary,cluster,umap_x,umap_y
faizal_28,1400,4,226518.0,5,17.810661,4.1258516
faizal_abd97,769,2,86600.0,0,-0.4086085,-2.0006588
faizalaziz94,1674,2,180497.0,1,9.637259,15.605284
faizallafandy3008,1618,2,75729.0,1,-1.5524931,15.887649
faizalmiski,1400,2,362416.0,1,10.835962,9.179964
faizalrum,552,2,131444.0,0,4.6884265,-7.6040998
faizaltobi,1554,2,122570.0,1,3.7857816,9.321969
faizarfanasseghaf,1463,2,118450.0,1,2.839935,6.1647096
faizatulkarimah129,1566,2,74160.0,1,-4.079801,11.450211
faizdanang,1422,3,278493.0,4,15.6186905,6.0126805
faizdaulay_,1588,2,80650.0,1,-2.6901531,10.739114
faizehmubarok,1299,15,1043082.0,5,22.526329,2.0811212
faizfaizah148,637,4,337988.0,2,16.967848,-6.9211745
faizgymnastiar17,1709,2,94882.0,1,1.7682703,17.454197
faizikauman,1571,2,148000.0,1,6.208296,9.70015
faizjmcc,1557,3,250914.0,4,15.2523575,7.3818264
faizlay,1564,7,464514.0,5,21.385605,4.4022236
faizngarnger,1314,2,101455.0,1,-0.4318222,3.2917964
faizprasetyaadi,537,2,89568.0,0,-1.0423813,-5.9258337
faizunfajri,322,9,498532.0,2,17.97064,-6.7904496
faizzudin2,1562,3,151410.0,4,13.197477,7.180664
fajar.adipiteku,405,2,196880.0,0,8.99406,-8.25943
fajar24668,1410,2,72200.0,1,-5.262067,7.340399
fajar248,892,2,86787.0,0,-0.4626793,-1.4946023
fajar2540,1354,2,110000.0,1,0.9469371,3.5717459
fajar_410,1410,2,288800.0,1,10.30434,8.369731
fajar_andika_014,1412,2,186110.0,1,8.031413,5.6874933
fajar_arrahman,1586,2,62000.0,1,-6.7524743,10.753005
fajar_senja_sweety,327,2,72206.0,0,-3.3219643,-4.536261
fajar_setiyo,1604,2,187300.0,1,8.177242,10.2458515
fajarabelino,1409,2,530512.0,1,11.235729,9.927632
fajarbai00,1311,2,125620.0,1,3.3465376,2.7719505
fajarbiantoro20,1519,2,80000.0,1,-3.2445493,9.054368
fajardeanurazizah19,1455,2,90000.0,1,-1.8567923,6.8613057
fajardwisetiawan,1790,2,73073.0,1,-1.7304658,17.579672
fajarfadly18,1730,3,176645.0,4,15.310485,12.0446205
fajarfkr,1744,2,83481.0,1,-0.11327308,17.636816
fajargushaeri,1489,2,108150.0,1,1.6200901,7.58366
fajarh14,1772,2,117054.0,1,5.159982,18.677607
fajarhariyasa,795,2,74150.0,0,-2.422801,-1.6145856
fajarhendriki,1453,2,199820.0,1,8.43752,6.814107
fajarilhammediputra,1601,2,87921.0,1,-1.4959638,10.425125
fajarilhamsaputra27,1694,2,146013.0,1,7.6428614,16.739017
fajarirmansyah,747,2,170168.0,0,9.207228,-1.991687
fajariyahintanintan,1593,6,493628.0,5,21.524559,4.582462
fajarizkyputra123,556,2,101216.0,0,1.08105,-6.691166
fajarkhan2,1572,3,133241.0,4,12.650155,7.6220446
fajarkhomariah,1568,2,71000.0,1,-4.9614663,11.956002
fajarking23,1392,2,68081.0,1,-6.061343,7.6830072
fajarmlnn,1618,2,111024.0,1,4.0383706,15.584382
fajarnaibaho104,435,2,204883.0,0,9.357012,-7.9669437
fajarnurjaman792,492,2,72816.0,0,-2.8810246,-4.451588
fajarramadhn00,1766,2,151900.0,1,8.404347,18.334698
fajarreskiyanto,1502,3,144200.0,4,12.705568,6.4834824
